"";"CACO2";"CO115";"COLO201";"COLO205";"COLO320";"DLD1";"HCC2998";"HCT116";"HCT15";"HT29";"IS1";"IS2";"KM12";"LIM1215";"LIM2405";"LOVO";"LS174T";"RKO";"RW2982";"RW7213";"SKCO1";"SW1116";"SW403";"SW48";"SW620";"SW837";"SW948";"T84";"TC71";"VACO5"
"ABCC2";0,09323615;0,81185685;0,09419136;0,07224643;0,55710815;0,73912465;0,064520335;0,350004925;0,7691475;0,41752502;0,78229415;0,09579286;0,39164213;0,445748275;0,65555075;0,2583568;0,457023465;0,70638795;0,3406886;0,459595525;0,56286155;0,04898434;0,205720575;0,824658725;0,0647166;0,62921025;0,41302485;0,040292205;0,146704365;0,69649005
"ABCC3";0,034970835;0,031032675;0,03335944;0,02696787;0,06155267;0,037747545;0,028038325;0,02543673;0,021061305;0,025658425;0,04142253;0,031436775;0,03524862;0,03032103;0,038662055;0,039925805;0,02642349;0,8320792;0,02724432;0,020647685;0,02381097;0,02560432;0,04670497;0,0287578875;0,027477755;0,02232506;0,02299612;0,015671035;0,02562097;0,020861035
"ABCC4";0,064003515;0,219097705;0,05839079;0,12254909;0,10131527;0,299743295;0,295275815;0,42617429;0,220028125;0,156567245;0,04676285;0,14787279;0,146284875;0,272112905;0,05824792;0,448517075;0,259397885;0,29358463;0,36642336;0,132116775;0,21695402;0,215300375;0,094836185;0,6853918;0,30080186;0,11024847;0,13482288;0,13676149;0,43778569;0,41668085
"ABCC5";0,03966094;0,051490945;0,03664594;0,022999295;0,12277018;0,113446745;0,1173507;0,26879168;0,222760685;0,03800846;0,087273905;0,039168175;0,04499899;0,17965524;0,150771615;0,38291583;0,035207135;0,091879605;0,06580656;0,08929222;0,031613395;0,03210665;0,034904485;0,211142355;0,04015424;0,035113435;0,057859845;0,10599642;0,195372065;0,122826985
"ABCC6";0,43330467;0,77088745;0,357789115;0,456951875;0,4537063;0,5802353;0,446916885;0,7842193;0,434884225;0,38412618;0,44088133;0,438624215;0,4144491;0,448221135;0,450382435;0,45926117;0,383687195;0,7015122;0,44285058;0,4387114;0,4635597;0,346718405;0,24557425;0,6501417;0,43540167;0,412155405;0,45697776;0,447755375;0,566723;0,44340444
"ABCC8";0,65007035;0,9132397;0,6343337;0,89022125;0,37735245;0,8872821;0,31438185;0,9074061;0,89959245;0,8799275;0,89832945;0,6862947;0,89110005;0,4511942;0,890449;0,49027915;0,108150975;0,8977368;0,5984682;0,28049712;0,54537125;0,52668595;0,298961875;0,9029609;0,32494445;0,74743985;0,61115855;0,50553925;0,79956835;0,7274964
"ABCC9";0,7541254;0,1023843;0,2302243;0,2354189;0,6208363;0,1798419;0,1158841;0,2660054;0,7700297;0,1173114;0,3849765;0,1350778;0,2966102;0,6836078;0,172466;0,1102314;0,09742121;0,1401674;0,4038005;0,07117935;0,2848948;0,34938;0,1316752;0,6835688;0,04895311;0,5463576;0,112037;0,06336528;0,7262005;0,4766558
"ABCD1";0,07257;0,07840123;0,07117993;0,03683977;0,03728666;0,10699;0,04435281;0,05170675;0,04871543;0,22736;0,3239449;0,3806013;0,08764289;0,05032698;0,06684789;0,04664611;0,04335847;0,2668774;0,04277865;0,0405304;0,0435291;0,05857692;0,3728122;0,3756326;0,05994517;0,0579167;0,3020642;0,04172447;0,09922179;0,3640388
"ABCD2";0,2280992;0,2088555;0,1939024;0,09264854;0,08195429;0,40462;0,1121899;0,25;0,09814814;0,1944652;0,2341338;0,1235955;0,5425667;0,1259321;0,153967;0,1014593;0,09674235;0,1746032;0,238806;0,0734375;0,1077891;0,1432457;0,2020684;0,5588138;0,1006464;0,161919;0,1519105;0,07184466;0,4328358;0,1265709
"ABCD3";0,054699295;0,04720854;0,029340345;0,03139904;0,037734395;0,05337199;0,033626495;0,049335665;0,029281935;0,038032475;0,0526339;0,048128285;0,057364835;0,04361453;0,04073245;0,049776905;0,02383015;0,040362235;0,028113765;0,03072776;0,029414175;0,03961526;0,0595214;0,0300789975;0,034252725;0,039073415;0,032978865;0,01917227;0,04309955;0,0291265
"ABCD4";0,05787754;0,056011455;0,068180665;0,047883815;0,040804105;0,06874213;0,042862925;0,040359855;0,042458845;0,051153755;0,050755595;0,05793184;0,038826875;0,05432763;0,047535845;0,055424435;0,040562675;0,054361145;0,04060307;0,0429902;0,04834307;0,0560397;0,062659605;0,0427353275;0,044118675;0,05530102;0,048890105;0,033907615;0,03983114;0,040845775
"ABCE1";0,05920723;0,04363549;0,03265717;0,01679672;0,03135531;0,07511798;0,02543781;0,02460025;0,01471434;0,02435897;0,04411955;0,06146228;0,04975455;0,03471698;0,04489524;0,02667149;0,01730745;0,0302168;0,03059168;0,02955809;0,03006351;0,0334678;0,03727157;0,021175145;0,03152878;0,01697571;0,06111941;0,01755942;0,02990709;0,02577976
