X17753;X17754;X17755;X17756;X17757;X17758;X17760;X17761;X17762;X17763;X17764;X17765;X17766;X17767;X17768;X17769;X17770;X17771;X17772;X17773;X17774;X17775;X17776;X17777;X17778
C11orf52;0.277044235;0.431045679;0.213357415;0.35772224;0.186142465;0.159004669;0.088797233;0.231634165;0.108149891;0.278872028;0.264601801;0.334775001;0.398127345;0.205607308;0.309682393;0.160078477;0.152327529;0.114932353;0.196042098;0.262961892;0.200827995;0.390158288;0.136524501;0.282716268;0.200709777
C11orf54;0.046597779;0.019335597;0.01092427;0.018995988;0.027026841;0.033503065;0.025222593;0.01958952;0.01078955;0.015055858;0.024802012;0.035628168;0.062916472;0.03793952;0.011074576;0.013596067;0.014604847;0.018592445;0.042057784;0.018122139;0.017764948;0.010268788;0.012873186;0.01166759;0.024680064
C11orf55;0.909644891;0.900006962;0.912141862;0.886668237;0.861485711;0.869921676;0.805942018;0.893115326;0.917111106;0.910267651;0.890024455;0.901314574;0.910258712;0.900193666;0.899720362;0.89781968;0.881169048;0.891946375;0.900857617;0.910599569;0.889423773;0.933834385;0.914837687;0.915667192;0.917005395
C11orf56;0.068674362;0.061367023;0.054800169;0.069015141;0.075911815;0.085551033;0.068499559;0.063043539;0.060865477;0.063388007;0.056440178;0.06362862;0.053252532;0.066761626;0.050536769;0.061222916;0.049511639;0.052126749;0.057371029;0.070501203;0.071977747;0.071013424;0.054417467;0.061962081;0.055593025
C11orf9;0.714176558;0.536438866;0.801951443;0.823411948;0.793034396;0.825979418;0.785998266;0.794153483;0.383682094;0.720335186;0.745851196;0.806488866;0.576333327;0.738329548;0.698212924;0.378564419;0.793242317;0.769101693;0.62558892;0.737967611;0.335314762;0.709479148;0.570586619;0.700948036;0.731910068
C12orf11;0.050269261;0.037535162;0.051274998;0.055590029;0.059770027;0.06241281;0.063182961;0.037550784;0.045572419;0.046613126;0.062667515;0.042693513;0.04594345;0.041185273;0.027165145;0.03181089;0.039281213;0.044804755;0.071531022;0.042405352;0.054485837;0.045236921;0.042300532;0.03930635;0.03121396
C12orf12;0.89979114;0.921941715;0.924430239;0.908126355;0.92669776;0.945325468;0.893496;0.906403313;0.937286808;0.914211945;0.918142567;0.916801708;0.884849036;0.949988566;0.912741618;0.925728969;0.930253571;0.947373842;0.917039225;0.915256099;0.936408414;0.924617654;0.92005955;0.919684499;0.917424776
C12orf23;0.046181651;0.04995718;0.038572214;0.043934869;0.049573135;0.044875632;0.050359433;0.049524604;0.040755051;0.033910308;0.037175397;0.043252517;0.040789334;0.043075984;0.035567399;0.034419532;0.0372983;0.036211927;0.03600421;0.037162584;0.036279058;0.038625668;0.033163344;0.037162856;0.038843274
C12orf24;0.026134194;0.027582571;0.015999552;0.025530414;0.044376019;0.039957666;0.08266361;0.0504516;0.028085905;0.026663509;0.063229758;0.037243606;0.027650238;0.027341611;0.014660588;0.015126702;0.020934723;0.014109658;0.062871353;0.035697919;0.020590323;0.033692725;0.018959672;0.025043258;0.021929234
C12orf25;0.733934731;0.678875014;0.762827636;0.726834513;0.782693112;0.754589765;0.730845604;0.612909733;0.508900149;0.611967108;0.718512232;0.689495972;0.714661998;0.731305845;0.656164986;0.748834875;0.581800411;0.804938265;0.544364235;0.709234602;0.72195593;0.707151765;0.667491303;0.611378642;0.762210812
C12orf26;0.90344404;0.882004878;0.901306395;0.867229144;0.90531029;0.907086897;0.863073321;0.878015803;0.928664171;0.906226906;0.886565824;0.875426574;0.814545539;0.925273708;0.906616992;0.923803286;0.919357996;0.835106594;0.866681906;0.901326693;0.760907778;0.902630887;0.875160817;0.931177249;0.929620914
C12orf30;0.01735621;0.020028889;0.01696503;0.021256992;0.01839051;0.02326202;0.027554214;0.026009089;0.020975539;0.016799467;0.021597968;0.02578787;0.014583457;0.01752165;0.01843065;0.019908442;0.016424754;0.021742172;0.016465235;0.016275262;0.01307318;0.017061685;0.013642246;0.017605823;0.017326983
C12orf31;0.053363651;0.035188899;0.025253707;0.018491327;0.043177942;0.031537258;0.026504087;0.065152465;0.030054638;0.043543422;0.065795855;0.0465829;0.031609198;0.025578604;0.019178684;0.034694791;0.02183008;0.027464506;0.058502489;0.031683933;0.027467608;0.028152084;0.025444041;0.023813448;0.03303294
C12orf34;0.709160379;0.448314395;0.822686673;0.68611859;0.312621353;0.862717304;0.825518053;0.401240148;0.88317992;0.704283351;0.729623243;0.702561635;0.541897634;0.730176734;0.618450821;0.782527183;0.843279269;0.592408014;0.781455357;0.611357069;0.739428755;0.66704101;0.670766297;0.641497521;0.829066072
C12orf35;0.042569751;0.047783676;0.047715948;0.051851579;0.047846754;0.047251672;0.066356233;0.054018243;0.037660257;0.048421055;0.057175977;0.047745567;0.033790707;0.03739028;0.038612347;0.035555001;0.032785202;0.044172062;0.035951754;0.036102755;0.051425417;0.035134049;0.040191342;0.054434118;0.03303401
C12orf36;0.172877737;0.383813559;0.103332339;0.211934369;0.16111862;0.082853353;0.073951775;0.164676965;0.055706319;0.286989235;0.202391357;0.248575826;0.237783774;0.138052161;0.186808104;0.050778272;0.069929831;0.026892148;0.108871905;0.106340333;0.182738622;0.137201649;0.080914665;0.185369722;0.073015812
C12orf38;0.08224303;0.080813903;0.074431078;0.10452958;0.087719397;0.107092149;0.101490177;0.097276049;0.062976148;0.088468681;0.085005074;0.124403056;0.06456822;0.109649395;0.070027539;0.076288448;0.061310811;0.100579138;0.087810672;0.130910647;0.093678462;0.066363156;0.077108403;0.083302614;0.088969698
C12orf40;0.84527733;0.852374134;0.892459592;0.897116845;0.88291385;0.876211946;0.77565446;0.878598856;0.874929335;0.845632509;0.886105113;0.888278891;0.876785817;0.723002976;0.873442105;0.594065151;0.880883149;0.901795223;0.865639755;0.898919392;0.89260075;0.886023104;0.877018392;0.875080423;0.851250659
C12orf43;0.030324756;0.042059949;0.032166923;0.033205556;0.032536541;0.043724965;0.044754539;0.036076407;0.029598056;0.031376254;0.034565874;0.034333907;0.024713649;0.025723442;0.032051586;0.031499972;0.02654564;0.036887148;0.035236674;0.028634975;0.027170388;0.040310765;0.028473323;0.034655729;0.023935964
C12orf44;0.034007441;0.027308662;0.021225419;0.019951438;0.019666478;0.022578581;0.028528502;0.024185627;0.022431887;0.020892462;0.025215373;0.024715466;0.01976789;0.020934551;0.021060875;0.017476595;0.015360355;0.023914821;0.018779434;0.017519243;0.015373579;0.026069753;0.019794745;0.025774909;0.022404795
C12orf47;0.037562299;0.032225252;0.032369604;0.027174812;0.047703418;0.042092138;0.039185843;0.041559739;0.034416145;0.033229912;0.037124602;0.040504233;0.025531271;0.029044303;0.025946438;0.028617709;0.037669192;0.028851543;0.03270488;0.030192805;0.02768613;0.028611133;0.028694867;0.031267794;0.027259103
C12orf48;0.015317606;0.025632306;0.014847708;0.015098046;0.026113594;0.01805279;0.021315747;0.017921628;0.013466902;0.014436017;0.020385198;0.014423182;0.021500797;0.024253441;0.015768427;0.014310664;0.010789455;0.010566654;0.024226661;0.015214134;0.01520609;0.018300608;0.016214345;0.007227746;0.014734336
C12orf5;0.027948234;0.029080867;0.021404768;0.023303428;0.02508078;0.033817969;0.037945301;0.026967018;0.029822627;0.026154116;0.030972496;0.029428759;0.020607476;0.021273492;0.0256853;0.028635608;0.02668224;0.030347395;0.030487731;0.025829195;0.025259117;0.031238571;0.022106374;0.026575501;0.023690735
C12orf50;0.822290524;0.814631834;0.855390155;0.822564996;0.80485498;0.837962012;0.782159377;0.814279159;0.838718443;0.803452845;0.783129416;0.808705764;0.797173721;0.785040091;0.768511778;0.504945206;0.848945134;0.620654112;0.850565504;0.844475652;0.749841127;0.815118822;0.790935431;0.833542145;0.855245355
C12orf54;0.900021564;0.890156375;0.511108399;0.886611267;0.919988885;0.940877974;0.689144088;0.61546459;0.932166005;0.490297315;0.908273374;0.914795191;0.701781501;0.714896084;0.632223744;0.902446169;0.943889676;0.944552881;0.599513419;0.361657904;0.918223934;0.900287429;0.557289625;0.908585936;0.934199529
C12orf57;0.067518674;0.07458598;0.033112684;0.041452307;0.06823318;0.042667162;0.2035497;0.124449054;0.158664804;0.073164245;0.066654401;0.035742486;0.057279047;0.094526547;0.032028816;0.021340538;0.028522192;0.031262576;0.112674094;0.058316789;0.041421983;0.041299399;0.027990591;0.033958962;0.034825401
C12orf58;0.0261702;0.517956248;0.014003687;0.035307079;0.026006212;0.043797558;0.043354901;0.035857564;0.018089353;0.030306581;0.025218467;0.030911288;0.033337895;0.262019317;0.012189995;0.023035629;0.011718989;0.01158568;0.031479022;0.014795693;0.017784745;0.018310371;0.015299581;0.017618991;0.014551657
C12orf59;0.316999075;0.384136056;0.092171891;0.460483333;0.192189542;0.332779336;0.23620864;0.215489194;0.480681651;0.212643082;0.484755098;0.286626409;0.259547281;0.155778536;0.346278495;0.065520516;0.11823666;0.046053411;0.180885789;0.346228364;0.165411965;0.389133784;0.164723506;0.356247613;0.091342412
C12orf60;0.030054981;0.026207266;0.018911342;0.0224643;0.039461941;0.026407639;0.022413181;0.02769523;0.017839249;0.028008083;0.018940522;0.044249911;0.029068517;0.028187098;0.012768556;0.015114747;0.019218124;0.016868313;0.019864691;0.014687498;0.015345996;0.016409002;0.010802351;0.015737352;0.022247008
C12orf61;0.058254659;0.064795736;0.065942805;0.06679988;0.086335369;0.08174973;0.078571921;0.090294263;0.059588107;0.065596633;0.084037217;0.070593549;0.056288768;0.063034334;0.069199955;0.067606416;0.052734252;0.066539291;0.076860087;0.057310004;0.070018557;0.080576454;0.075310637;0.082618736;0.070690543
C12orf62;0.03207217;0.030641416;0.023187127;0.03250492;0.027493808;0.034717504;0.04000709;0.027731712;0.027670429;0.022932711;0.04048816;0.040606579;0.022847627;0.022322381;0.022439078;0.023618147;0.022746943;0.029393486;0.028575746;0.036073092;0.025067958;0.023075275;0.022403585;0.023095389;0.025986859
C13orf1;0.020623336;0.028480594;0.0256536;0.026565327;0.034973835;0.030326399;0.031529443;0.038772875;0.026550434;0.026214822;0.05012773;0.032902669;0.023189368;0.0210011;0.020158556;0.020471012;0.020375466;0.023648023;0.019723185;0.023501771;0.028317973;0.023449332;0.026844758;0.017936533;0.029062325
C13orf10;0.068754498;0.060256486;0.056846156;0.034759144;0.076975264;0.051614821;0.080575765;0.056271324;0.045116635;0.0582303;0.056670867;0.061873644;0.047951902;0.066179567;0.026606401;0.02912621;0.046719304;0.029071064;0.047162509;0.043900997;0.024751301;0.034660468;0.035685976;0.028203262;0.066318364
C13orf23;0.037583556;0.047876209;0.033650861;0.035047978;0.032535311;0.039150457;0.043843076;0.036360579;0.035615222;0.036869671;0.031008416;0.036252255;0.034629338;0.034593877;0.028926186;0.04371843;0.041618084;0.032202342;0.034867363;0.036749012;0.033682316;0.030698339;0.029747256;0.030476579;0.026960271
C13orf8;0.078300734;0.084954048;0.074948148;0.115611256;0.086166016;0.082927567;0.07235906;0.07511876;0.083611053;0.079226;0.081676402;0.087708511;0.123163351;0.07768556;0.072652888;0.068498879;0.075579095;0.089084229;0.0652064;0.085381976;0.094715484;0.097866794;0.071980281;0.077501348;0.083619796
C14orf1;0.023521625;0.017018284;0.018644202;0.022160235;0.022982903;0.021384948;0.025601738;0.023341233;0.019748947;0.020972879;0.024018486;0.025903674;0.021449477;0.015824041;0.02016402;0.018012479;0.01962003;0.020828096;0.021860293;0.01886802;0.02176983;0.021094808;0.017115588;0.026617418;0.018862392
C14orf101;0.038001257;0.029394001;0.028627015;0.037017016;0.033448129;0.037025693;0.034042618;0.036006816;0.032491294;0.040123657;0.051711916;0.053161101;0.023344363;0.030398368;0.033755488;0.025860931;0.031450794;0.037342109;0.05056297;0.027019723;0.024547355;0.031192513;0.030201109;0.027655005;0.034623568
C14orf102;0.035322535;0.032206523;0.024010607;0.030186777;0.02567186;0.035936031;0.027314065;0.031913627;0.027069454;0.036235506;0.031462243;0.039309303;0.025716776;0.028239933;0.017844;0.022544706;0.028645628;0.051388892;0.036287211;0.026288102;0.027175301;0.028851568;0.038758176;0.035715795;0.026469308
C14orf104;0.058376988;0.058446147;0.070476233;0.062944456;0.056387063;0.077303889;0.067774665;0.065085302;0.06759658;0.072966913;0.080979149;0.091564448;0.056184061;0.057560742;0.056491695;0.046175827;0.06870928;0.047930603;0.085783378;0.056974075;0.080655767;0.058850986;0.084035155;0.065524268;0.063843219
C14orf105;0.840142079;0.707019698;0.88526512;0.855700362;0.858749186;0.805720632;0.418302799;0.880074832;0.879106686;0.831318656;0.81070411;0.830259916;0.607046411;0.760130315;0.846669877;0.858299333;0.85632319;0.857338651;0.784644054;0.868855409;0.847761462;0.805406988;0.561654066;0.804502552;0.555755827
C14orf106;0.013048652;0.01624017;0.014977942;0.015377276;0.022160863;0.015116113;0.01665159;0.011102563;0.009156447;0.013249718;0.01042132;0.017473044;0.014150466;0.008362578;0.017038899;0.00515694;0.02297957;0.005792941;0.021754907;0.006601025;0.005865092;0.007756729;0.041693028;0.008323706;0.005987672
C14orf11;0.060202974;0.046515134;0.053019202;0.057166646;0.049039137;0.066986858;0.072755533;0.054025279;0.044997013;0.063584329;0.052827251;0.091380114;0.048814771;0.042012785;0.042941552;0.043464354;0.033982787;0.04041699;0.052844796;0.045582142;0.065707216;0.045986133;0.060526077;0.049876762;0.049539169
C14orf112;0.093058842;0.090799765;0.035826775;0.078817484;0.089804813;0.112859111;0.14479998;0.063840022;0.054219066;0.089240844;0.087526142;0.091688881;0.092664093;0.11153302;0.03668165;0.052269329;0.048985634;0.04890104;0.10007274;0.047294753;0.053710144;0.034219174;0.053801895;0.042748818;0.099384626
C14orf115;0.695417932;0.663201938;0.518893102;0.67654803;0.441466428;0.768245197;0.655615474;0.41215796;0.26706691;0.622927003;0.678321629;0.658231329;0.630791104;0.351854996;0.500201308;0.762033436;0.739632054;0.85949152;0.65873365;0.724760302;0.653045055;0.597461977;0.702141816;0.643501502;0.728674438
C14orf118;0.020189302;0.021084343;0.010475513;0.01652178;0.019236418;0.010912173;0.025448925;0.014965797;0.009594547;0.012335019;0.018269961;0.010521671;0.014599004;0.012800043;0.008172837;0.006345326;0.013740649;0.007519792;0.015726602;0.009227729;0.005757866;0.005153304;0.011717747;0.00516102;0.009725959
C14orf119;0.083902317;0.08834049;0.060767;0.05799199;0.07268919;0.068683552;0.085674485;0.085831972;0.075313659;0.069449399;0.084904876;0.061623162;0.073926023;0.073259618;0.062360521;0.070172148;0.064272316;0.063169641;0.055159318;0.076791359;0.067698549;0.081312033;0.061948114;0.06085329;0.059847274
C14orf122;0.059954011;0.070246073;0.065414478;0.059043431;0.053589422;0.058228469;0.068458143;0.061366527;0.062543575;0.071834684;0.058336477;0.073248907;0.050458198;0.059530108;0.050761089;0.055854295;0.048709523;0.059725637;0.053019986;0.046649204;0.059930371;0.058943688;0.066254616;0.054256584;0.048880046
C14orf126;0.057761591;0.055239635;0.045570426;0.06515476;0.070068219;0.072471382;0.066014503;0.063396281;0.040634974;0.061608525;0.066480554;0.100383846;0.040067811;0.067146903;0.041564996;0.035411214;0.0464243;0.083252285;0.065243189;0.056429958;0.047953357;0.060331674;0.072767544;0.071445443;0.049998562
C14orf130;0.022432217;0.028134184;0.020103139;0.020489078;0.017764583;0.024508239;0.022822413;0.025695065;0.020417086;0.017479381;0.019368343;0.024382027;0.016306955;0.018540118;0.013948215;0.015002847;0.016417078;0.017045992;0.026054693;0.020221849;0.01948455;0.018034711;0.022622442;0.015080681;0.015828816
C14orf133;0.038606129;0.039780929;0.035415884;0.03713369;0.045145521;0.06105774;0.036025508;0.043071849;0.03347768;0.033331889;0.064184106;0.040444383;0.037299042;0.047082974;0.037425006;0.036210784;0.030331969;0.045293619;0.035536339;0.032258174;0.032372385;0.039241809;0.04125331;0.037029047;0.035335181
C14orf138;0.186563704;0.195535643;0.221827949;0.249356921;0.300397019;0.291630343;0.206003124;0.178601874;0.264459779;0.215289651;0.238386467;0.193718878;0.132701887;0.300220753;0.17440804;0.163946931;0.161116986;0.413709194;0.309889386;0.226931471;0.1681432;0.258495409;0.351541797;0.227613961;0.25758749
C14orf143;0.171231795;0.151374757;0.115201533;0.27570477;0.134875765;0.156613075;0.177307829;0.112000409;0.09758428;0.159890127;0.210438568;0.184195579;0.206496277;0.163589323;0.210173038;0.171356085;0.138308206;0.103455968;0.18098992;0.21874077;0.14918055;0.266857095;0.142230697;0.253555729;0.135013262
C14orf147;0.114503782;0.08446944;0.097676694;0.081755459;0.080522841;0.067882697;0.089917287;0.093060408;0.113578581;0.096209342;0.087635154;0.077851323;0.095437885;0.061755947;0.070712746;0.071744237;0.075685718;0.075626813;0.105392933;0.082135189;0.09294356;0.085658818;0.105558477;0.089985983;0.097567489
C14orf148;0.897196046;0.881002189;0.914555089;0.930103888;0.854421877;0.821901542;0.897839398;0.867988227;0.941244108;0.896355842;0.897237469;0.917311018;0.900045763;0.794047665;0.932504448;0.904177603;0.947779778;0.889587657;0.849695763;0.882172086;0.942049201;0.940210451;0.913711071;0.907618623;0.925287913
C14orf149;0.02680756;0.030051645;0.024216116;0.025957167;0.033807735;0.027758845;0.03553087;0.032079135;0.023201943;0.030629502;0.028364345;0.031636916;0.02138419;0.021225475;0.023698794;0.023487759;0.023873179;0.025690221;0.022960514;0.028546337;0.024963649;0.032628224;0.027724347;0.023421597;0.022435794
C14orf150;0.041551789;0.032576126;0.042431961;0.038174003;0.048957126;0.055414343;0.039946028;0.042815775;0.041636441;0.042517473;0.048723221;0.049286984;0.034266427;0.043725571;0.034490038;0.040566538;0.037079948;0.05206316;0.051658282;0.044404294;0.036630859;0.038422078;0.056678432;0.047792434;0.040193327
C14orf153;0.028260128;0.02598994;0.021678149;0.020115401;0.028855804;0.021610161;0.024648688;0.025612395;0.022690971;0.028152714;0.029207523;0.030668941;0.018064127;0.020426402;0.017060269;0.015400467;0.020249111;0.024177775;0.020402262;0.019482047;0.021818851;0.022990589;0.018628129;0.021369773;0.021095592
C14orf156;0.027516813;0.030929788;0.026908482;0.021733681;0.023523381;0.026716829;0.032174437;0.028651538;0.022510296;0.021595458;0.026995312;0.027611214;0.022345765;0.023044375;0.018843334;0.019619051;0.025252935;0.022361448;0.027146545;0.019376299;0.020134152;0.023473692;0.021726403;0.024925944;0.017667669
C14orf162;0.872858525;0.775070512;0.922172741;0.839515395;0.906463267;0.84008435;0.919270214;0.885831976;0.969332292;0.722300438;0.715880525;0.864809568;0.777313719;0.790516648;0.781056109;0.912802737;0.871590151;0.746485829;0.288249968;0.91352655;0.874067494;0.888038336;0.172066431;0.882817116;0.78930446
C14orf166B;0.719262754;0.593844759;0.548681638;0.724819736;0.47244212;0.761461582;0.5191523;0.440618568;0.55743568;0.69683023;0.727938306;0.716082999;0.475949852;0.670258935;0.707429478;0.662170657;0.570931595;0.53852882;0.686088208;0.738918439;0.622720634;0.691762563;0.813777888;0.78124741;0.703237838
C14orf173;0.546621819;0.621000505;0.671014433;0.730665931;0.464251341;0.699060503;0.611995676;0.650274936;0.471555404;0.662096502;0.683374282;0.652350587;0.424921542;0.716880408;0.707898827;0.722163562;0.844646237;0.57913192;0.537349957;0.602349091;0.449442421;0.601080419;0.322391012;0.440263906;0.822613171
C14orf2;0.025908709;0.025995308;0.019830123;0.026758912;0.021160165;0.023075948;0.026792117;0.02655324;0.021285326;0.031540625;0.032422082;0.031016276;0.022265673;0.02408464;0.025126875;0.023436022;0.021761001;0.02459291;0.026439654;0.021373609;0.022513345;0.023711603;0.018403124;0.027242794;0.03041949
C14orf24;0.047878928;0.055071764;0.037107041;0.060073708;0.058523385;0.068033291;0.08107067;0.048754004;0.056664275;0.080403358;0.061023323;0.087846393;0.041600426;0.046519741;0.044271252;0.059553907;0.050342949;0.044706891;0.077914525;0.052228898;0.059879701;0.05156427;0.072255216;0.069377684;0.051380472
C14orf29;0.733842682;0.713103602;0.731090428;0.636010638;0.828104772;0.828815308;0.528361219;0.807395417;0.559703225;0.774666367;0.798426769;0.732375699;0.517435517;0.528799996;0.660368574;0.458727019;0.831841126;0.819012543;0.79815718;0.773154149;0.732101383;0.774453674;0.818610204;0.526656754;0.771759174
C14orf32;0.029654241;0.024267123;0.023544086;0.02101383;0.027344002;0.022494551;0.02616336;0.024458741;0.023895336;0.030531083;0.027540966;0.03116197;0.024358449;0.020119084;0.016786573;0.022659747;0.019090974;0.022282036;0.023040327;0.020238207;0.021441897;0.023355336;0.023926532;0.025164536;0.018471892
C14orf39;0.324530215;0.348383677;0.098243695;0.278936117;0.660466712;0.62118605;0.659498489;0.591286792;0.719687487;0.296699133;0.143013064;0.355848691;0.285875655;0.440378023;0.15755277;0.378762842;0.574749554;0.254488998;0.306853606;0.096092154;0.578627938;0.222829119;0.535755867;0.357785349;0.515152657
C14orf4;0.010672503;0.01794321;0.0128601;0.012146088;0.020466243;0.011716761;0.02443282;0.019736161;0.016452425;0.014024467;0.0205567;0.016056767;0.012306084;0.010213435;0.007747273;0.013884014;0.008905549;0.013185265;0.010995161;0.008754038;0.009560178;0.00913023;0.010429471;0.008606231;0.015081488
C14orf43;0.041801326;0.050876726;0.042751825;0.04063393;0.029055058;0.049003378;0.063351383;0.064370748;0.053836489;0.041773216;0.052627742;0.054138602;0.037184177;0.036896386;0.031196496;0.030463086;0.038975813;0.037211925;0.046384134;0.038545206;0.033414929;0.043961304;0.058512691;0.042002018;0.039158195
C14orf48;0.834999996;0.815332499;0.864866179;0.847629137;0.868173956;0.758914638;0.720019106;0.767191818;0.823274264;0.811727125;0.834572253;0.832292251;0.726063934;0.559448276;0.86905597;0.853469873;0.908510452;0.85858914;0.723558245;0.742379711;0.82707389;0.864059891;0.689250273;0.807287741;0.850988222
C14orf50;0.092159804;0.089265384;0.081131026;0.095150135;0.097644637;0.079527419;0.082715347;0.083842031;0.082381365;0.1471622;0.096138859;0.127192047;0.090035041;0.120049304;0.092324802;0.071831909;0.072435436;0.068102014;0.089114514;0.080969481;0.099215247;0.08874522;0.096255148;0.148927046;0.06809809
C14orf58;0.292607191;0.445518967;0.218153718;0.369200541;0.565216179;0.324489493;0.135306418;0.55994453;0.144829615;0.203586962;0.34345583;0.425088686;0.496616761;0.208996144;0.365795976;0.244879195;0.378766827;0.068407193;0.251538154;0.243778037;0.408857318;0.546457389;0.168537134;0.385647015;0.245995947
C14orf68;0.93739701;0.951503902;0.964241501;0.935137301;0.951379415;0.951767529;0.932599284;0.931834302;0.94363604;0.954942273;0.960151193;0.960826197;0.918254623;0.968085175;0.963052054;0.959509745;0.975547733;0.97519232;0.940777751;0.951502723;0.952456282;0.936528059;0.965247337;0.95478197;0.963402922
C14orf93;0.496124271;0.288373376;0.114157984;0.186352942;0.247541415;0.706763035;0.16306116;0.159167602;0.18834223;0.223845846;0.551486937;0.282057569;0.420911163;0.46017642;0.408884199;0.279799697;0.396177244;0.459993447;0.184782586;0.5542693;0.190333758;0.5414303;0.203394798;0.334043441;0.106307545
C14orf94;0.044009064;0.035346622;0.035053674;0.064516358;0.058378645;0.055700095;0.054646214;0.042480653;0.027394026;0.057856716;0.040336374;0.035171284;0.050747914;0.041903453;0.011385685;0.014680905;0.016879583;0.032703034;0.082384688;0.029908348;0.024970811;0.038124632;0.031297279;0.022089523;0.028367326
C15orf15;0.026561364;0.018403208;0.01310992;0.023139395;0.018190554;0.017916606;0.018057549;0.017950534;0.015601305;0.015966419;0.009987661;0.016595876;0.019390321;0.019043281;0.016216316;0.01027327;0.007308881;0.011014398;0.035065148;0.012608594;0.009994115;0.009606903;0.010064874;0.012378447;0.013975224
C15orf2;0.843356185;0.819537269;0.897015556;0.883510529;0.90792052;0.900214144;0.820238735;0.479875717;0.91338562;0.818750912;0.871928259;0.848178559;0.754062311;0.777781606;0.884633547;0.824387688;0.895066647;0.929721649;0.838083769;0.840918795;0.858941864;0.891796206;0.868070293;0.857946608;0.805153279
C15orf21;0.557563993;0.809913667;0.736917573;0.844232312;0.310162151;0.850884503;0.400298911;0.338912181;0.184843481;0.84264086;0.619968642;0.758755524;0.683961737;0.794091522;0.556071411;0.315139918;0.533862709;0.81229169;0.499083628;0.523393958;0.583136514;0.619737401;0.824053437;0.843451565;0.40694066
C15orf24;0.886255391;0.924638219;0.938118778;0.916627638;0.890584882;0.924046163;0.889731114;0.768480958;0.94197896;0.892552826;0.87837229;0.889062279;0.840168111;0.913368322;0.955743448;0.873995355;0.932279876;0.960996584;0.849897302;0.92140503;0.942240589;0.935264241;0.934957145;0.906821183;0.843985262
C15orf29;0.128389281;0.146630886;0.09395376;0.183480965;0.137853499;0.105923542;0.19441936;0.131234336;0.176765448;0.129666407;0.160767653;0.09858427;0.13869931;0.186114681;0.05857887;0.090289713;0.084500803;0.070087415;0.215940861;0.109573215;0.102950055;0.045879015;0.042912197;0.088931848;0.064330414
C15orf32;0.858127008;0.68845054;0.270980521;0.863014875;0.287886381;0.886716774;0.865288769;0.332433314;0.620439192;0.886414572;0.852543334;0.840830471;0.713794716;0.610372767;0.857304491;0.585214678;0.888536052;0.896872891;0.841404845;0.857323033;0.865466156;0.894064415;0.89901346;0.852411952;0.869659198
C15orf42;0.581914634;0.606404921;0.540577264;0.77134156;0.543148267;0.775786734;0.58469404;0.599245278;0.462824039;0.76124995;0.57513265;0.680333236;0.63791832;0.727393803;0.601209197;0.634020537;0.655370136;0.539133769;0.638408122;0.66378004;0.592851549;0.568232746;0.511762267;0.700080705;0.608067741
C15orf43;0.926505475;0.904741934;0.927597463;0.915240559;0.881113024;0.926285589;0.894657511;0.861248786;0.936180519;0.811203337;0.932057137;0.899380684;0.776938006;0.921980541;0.807667173;0.61056869;0.932216939;0.722359502;0.907072476;0.887222069;0.758492608;0.91089207;0.929919371;0.897025865;0.703249159
C15orf44;0.080638895;0.09183104;0.091013357;0.080174282;0.086462695;0.091867071;0.093289245;0.113243954;0.095847917;0.104746348;0.111707548;0.108885185;0.083574873;0.091390735;0.088085072;0.101874618;0.085174164;0.079401617;0.104502955;0.096346567;0.082044745;0.087514676;0.078843328;0.110004925;0.091868865
C15orf48;0.105306644;0.112420707;0.076330632;0.15137254;0.078822269;0.087118567;0.191424053;0.166373457;0.082359137;0.161268745;0.150390624;0.302627945;0.106251579;0.128670171;0.050111779;0.063026872;0.492548504;0.032948239;0.201284609;0.131033509;0.049693227;0.081849962;0.035581466;0.084649708;0.747054131
C16orf24;0.031084807;0.025604224;0.073458882;0.02132683;0.021485517;0.024766261;0.032989638;0.052464608;0.042769753;0.032589684;0.028491228;0.024151007;0.018772345;0.019836479;0.021051824;0.025220352;0.019979291;0.022246218;0.022627951;0.022609711;0.01313954;0.015190409;0.022341658;0.019223653;0.021069342
C16orf25;0.16468339;0.228282157;0.11193915;0.219917075;0.08390072;0.097423721;0.084211053;0.089117003;0.075698383;0.118518019;0.132618484;0.159151713;0.198760153;0.108685298;0.118066738;0.174343494;0.079130518;0.050654076;0.083696238;0.083987223;0.154657987;0.155322169;0.070714971;0.230551886;0.096776686
C16orf28;0.638896677;0.517257128;0.29004135;0.427641126;0.405994526;0.610244492;0.283750088;0.294591322;0.152535132;0.612487939;0.594971192;0.643699279;0.650422486;0.480675568;0.559271601;0.724608435;0.663759612;0.541773531;0.513167152;0.492229213;0.415739582;0.651538485;0.370982618;0.834977393;0.752305268
C16orf30;0.589231392;0.558128025;0.726389234;0.559515629;0.702026721;0.659528927;0.673776614;0.640522089;0.720442901;0.640003222;0.614812879;0.53540626;0.514359054;0.663980896;0.577533001;0.630958636;0.72989756;0.765572918;0.678197826;0.712055592;0.649132845;0.571373606;0.705768077;0.496251896;0.714449828
C16orf33;0.891254254;0.85497377;0.917680513;0.923334577;0.90414296;0.902647979;0.915029968;0.899725532;0.9090855;0.913705472;0.910330483;0.902996973;0.905579786;0.909114699;0.920787024;0.884513365;0.914079698;0.93307787;0.886973677;0.935689724;0.87881274;0.918872235;0.926897723;0.900720743;0.9096376
