X17753;X17754;X17755;X17756;X17757;X17758;X17760;X17761;X17762;X17763;X17764;X17765;X17766;X17767;X17768;X17769;X17770;X17771;X17772;X17773;X17774;X17775;X17776;X17777;X17778
ABCD4;0.114044479;0.093756401;0.071687511;0.097490939;0.089690725;0.087075412;0.116392902;0.087370711;0.08882136;0.08809546;0.084135542;0.082846431;0.117446837;0.076630909;0.054751462;0.065663619;0.05215707;0.096173707;0.191437505;0.123845552;0.074106063;0.058478166;0.052973997;0.086874298;0.086838508
ABCE1;0.038092825;0.033984449;0.033182336;0.028742939;0.043793407;0.038214116;0.042126387;0.035623393;0.029647419;0.039616939;0.037037773;0.033820229;0.030380905;0.037624837;0.038147926;0.034014602;0.035843546;0.046756013;0.030041443;0.028595546;0.029519147;0.036401688;0.030588777;0.048362248;0.030655869
ABCF1;0.117110697;0.102279635;0.117417116;0.106503742;0.105342371;0.101938671;0.1081819;0.122279677;0.087312298;0.11214782;0.138028249;0.161302454;0.108083909;0.102826016;0.09313511;0.128303932;0.09901788;0.134663949;0.083513282;0.130442453;0.09977395;0.132568847;0.114553372;0.102854397;0.100524668
ABCF2;0.047555552;0.052072587;0.049747002;0.041675281;0.06098195;0.0544031;0.052201536;0.06861364;0.050531028;0.041169954;0.046525601;0.060223516;0.041756243;0.036430739;0.039022799;0.038745428;0.041809144;0.038594695;0.047911366;0.047079767;0.044821745;0.039895355;0.042221428;0.040892611;0.046970953
ABCF3;0.052260349;0.046982145;0.04480664;0.051789031;0.052406205;0.058522911;0.056224027;0.053845845;0.046832807;0.041170828;0.049113774;0.077397775;0.042269536;0.051804441;0.03853887;0.039088609;0.0542136;0.059008627;0.04256216;0.043919444;0.039075698;0.047763007;0.050292841;0.034832022;0.044579482
ABCG1;0.947073702;0.925572427;0.941075726;0.920355458;0.91217836;0.906812605;0.890915164;0.926987016;0.943650357;0.894174273;0.911941021;0.940731388;0.900836539;0.90784819;0.950450195;0.928279392;0.944142997;0.928821189;0.869028746;0.891851886;0.944502439;0.937619246;0.908649963;0.915931867;0.911629009
ABCG4;0.66283759;0.684037816;0.252098496;0.592978276;0.413393454;0.799089082;0.212605684;0.262744873;0.660488285;0.275831356;0.456564606;0.441726964;0.322731261;0.48162462;0.406886026;0.545807273;0.426857159;0.036239339;0.400628143;0.371030529;0.465226286;0.447840424;0.182895789;0.655857704;0.163797457
ABCG5;0.883746758;0.86354882;0.885383427;0.787135907;0.617127751;0.920572191;0.875799089;0.592687317;0.930245111;0.805654391;0.889785348;0.893091559;0.760455671;0.715172334;0.885630526;0.942268424;0.856527909;0.946224336;0.827117466;0.858061248;0.800829788;0.895476686;0.743837938;0.856765525;0.904909553
ABHD1;0.048496583;0.061250647;0.051316319;0.049828785;0.065661249;0.058115573;0.075179967;0.057852512;0.056334813;0.078041743;0.077660395;0.064632525;0.056409404;0.05040329;0.045430193;0.044652728;0.04962594;0.049353762;0.063117507;0.059705733;0.047635343;0.089615417;0.061822712;0.055104455;0.049804259
ABHD10;0.063081272;0.081152093;0.061034815;0.052560198;0.064289115;0.064172185;0.066353607;0.059800422;0.058343484;0.04988807;0.074126626;0.061633551;0.046945082;0.051290477;0.05977844;0.071993989;0.060791013;0.06404902;0.051270463;0.053462851;0.059654467;0.049363809;0.059877234;0.076746767;0.060845705
