"","r (Sp)","p (Sp)","adj.Spear.Pval","distCor","SigNegCorr","cMI_min","t_opt","ratio","meth_regulated","logicSc","numericSc"
"IFI44",0.0843664427939826,0.209472196985339,0.390952859098034,0.116252947341249,FALSE,0.00204790761241052,"0.19",0.307870715707377,FALSE,FALSE,-2
"IFI44L",0.0257696106558551,0.701924964324486,0.82917040579788,0.136700537209925,FALSE,0.0134059674064483,"0.12",0.786273857150902,FALSE,FALSE,-10
"IFI6",-0.123769663138689,0.0650392235386605,0.173026939082313,0.158847338021472,FALSE,0.000381978677025697,"0.08",0.585796532468705,FALSE,FALSE,0
"IFIH1",-0.108416600274083,0.106382310579272,0.245555734538815,0.135957081223893,FALSE,9.92844017386565e-05,"0.05",0.548396359142111,FALSE,FALSE,0
"IFIT1",0.011912520320189,0.859588189339356,0.926730023237651,0.103917455438779,FALSE,0.000776500071106142,"0.09",0.170911980637746,FALSE,FALSE,0
"IFIT2",-0.00285463233893727,0.966188383192097,0.983373222333659,0.0819698145071371,FALSE,0.000969151522730431,"0.19",0.861131397287329,FALSE,FALSE,0
"IFIT3",-0.119816710429441,0.0741595465911224,0.189506337571245,0.140931534311537,FALSE,0.00439172212135687,"0.1",0.426482099640182,FALSE,FALSE,0
"IFIT5",0.0171386245058116,0.799098014330283,0.891504541541427,0.10096261366378,FALSE,0.000266560389065854,"0.1",0.397706203020553,FALSE,FALSE,0
"IFITM2",-0.276146238002616,2.88729979800451e-05,0.000330985819387255,0.276579472468115,FALSE,0.0137631840740067,"0.36",0.356520065782442,FALSE,FALSE,-10
"IFNA14",-0.0193413069490703,0.77393545144594,0.875542176455249,0.105399514227283,FALSE,0.0214340443279121,"0.37",0.576913564171969,FALSE,FALSE,-1165.2
"IFNA21",0.0444156359919772,0.509340376097274,0.682207062087793,0.0931603513851226,FALSE,0.0151748363483098,"0.43",0.572042076570873,FALSE,FALSE,-651.2
"IFNA5",-0.0542750120795986,0.419932387527421,0.60704446560797,0.0839503953581285,FALSE,0.0104188822013197,"0.61",0.453880510015228,FALSE,FALSE,-2143.8
"IFNA6",0.0596179348878045,0.375579398103622,0.565431666008364,0.116930595540043,FALSE,0.00325270728577127,"0.69",0.362394881738743,FALSE,FALSE,-360.6
"IFNA8",0.045653164291466,0.497600809564847,0.67329182083912,0.0952005730507541,FALSE,0.0158209881890924,"0.34",0.634171983765498,FALSE,TRUE,66.4
