"","r (Sp)","p (Sp)","adj.Spear.Pval","distCor","SigNegCorr","cMI_min","t_opt","ratio","meth_regulated","logicSc","numericSc"
"MMP19",-0.0126807563959956,0.9469744867472,0.987667174268795,0.303550101321185,FALSE,0.00842153294695588,"0.62",0.570612997044217,FALSE,FALSE,-41
"MMP2",-0.138598442714127,0.465136768439195,0.841453822694827,0.321951032034078,FALSE,0.00230575392497989,"0.38",0.029751855102429,FALSE,FALSE,-18
"MMP20",0.0211345939933259,0.911733458755656,0.979326747801938,0.291242861290987,FALSE,0.00961856138517675,"0.43",0.373723583801918,FALSE,FALSE,-27
"MMP21",-0.046496106785317,0.807246214010501,0.959354440776865,0.230210689928753,FALSE,-0.00034159244976227,"0.39",-0.414203516453457,FALSE,FALSE,-145
"MMP24",-0.311679644048943,0.0936088724667927,0.475538095863282,0.356276691140327,FALSE,0.00148576207735377,"0.7",0.0519220340632881,FALSE,FALSE,-4
"MMP25",-0.210678531701891,0.263779998869238,0.714249584542472,0.364348071483789,FALSE,0.0067498776906086,"0.29",0.346986242561524,FALSE,FALSE,-33
"MMP26",-0.014460511679644,0.939544958563992,0.985528782374031,0.251432661374477,FALSE,0.00378041079276565,"0.08",0.300037284229546,FALSE,FALSE,0
"MMP27",0.234705228031146,0.211871160543348,0.660802996323966,0.344347302300139,FALSE,0.00163662059894476,"0.53",0.169389631209717,FALSE,FALSE,-116
"MMP3",0.213348164627364,0.257636218204248,0.708421641874135,0.304645492956993,FALSE,-0.000955766252886688,"0.58",-0.0688573983832577,FALSE,FALSE,-39
"MMP7",-0.337931034482759,0.0677856186175558,0.415978844882127,0.363782232867604,FALSE,0.086491360525793,"0.2",0.407521019530615,FALSE,FALSE,-2
"MMP8",0.0932146829810901,0.624181677982413,0.905039530278559,0.259293087533229,FALSE,-0.00147865518487955,"0.86",1.77641280662322,FALSE,FALSE,-170
"MMP9",0.310344827586207,0.0950972139561692,0.477335065544908,0.45344028669362,FALSE,0.0178523581136508,"0.46",0.353947470447566,FALSE,FALSE,-33
"MMRN1",0.133704115684093,0.481194681757892,0.847819201192477,0.211146373494617,FALSE,-0.000290332899758278,"0.73",-0.505110288350987,FALSE,FALSE,-93
"MMRN2",0.27964404894327,0.134488629041189,0.550705240547535,0.365060235835528,FALSE,0.0166480400352147,"0.75",0.259553135854388,FALSE,FALSE,-54
"MN1",-0.103448275862069,0.586443865916956,0.891875200555724,0.239226510961687,FALSE,0.026851521251171,"0.6",0.475384509785608,FALSE,FALSE,-2
"MNAT1",-0.0513904338153504,0.787395134836002,0.953215531983602,0.255898455150259,FALSE,0.00140332443416229,"0.2",0.326050036738834,FALSE,FALSE,0
"MNDA",0.333036707452725,0.0721230784772926,0.424699869581942,0.356172839123818,FALSE,-0.000801323898293626,"0.08",-0.637390915816273,FALSE,FALSE,-2
"MNS1",-0.52258064516129,0.00305069993677964,0.0821158781561137,0.527480901823433,TRUE,0.153624135277933,"0.57",0.394464834450753,FALSE,FALSE,-12
"MNT",-0.123025583982202,0.517195874907898,0.861285433672308,0.279267278275971,FALSE,-1.44013099724032e-05,"0.11",-0.0789670610743397,FALSE,FALSE,0
"MOAP1",-0.331701890989989,0.0733425105249932,0.428768696373339,0.325754879218381,FALSE,-5.18461234727744e-05,"0.03",-0.108514675428436,FALSE,FALSE,0
"MOBP",0.00422691879866518,0.982313880613992,0.994926738287502,0.250828901599263,FALSE,-0.00149294723383849,"0.12",-0.351379204937568,FALSE,FALSE,-72
"MOCOS",0.0189098998887653,0.920994215056669,0.981662127130403,0.284901447333751,FALSE,0.000399352640441063,"0.08",0.114435404518957,FALSE,FALSE,0
"MOCS1",0.469187986651835,0.00890773897606367,0.150123155829536,0.536884421733815,FALSE,0.0365464204670202,"0.68",0.272382862739294,FALSE,FALSE,-104
"MOCS2",-0.0327030033370412,0.863786459147252,0.970019811117512,0.218506040995513,FALSE,5.83349788027397e-05,"0.06",0.47831474917645,FALSE,FALSE,0
