"";"CACO2";"CO115";"COLO201";"COLO205";"COLO320";"DLD1";"HCC2998";"HCT116";"HCT15";"HT29";"IS1";"IS2";"KM12";"LIM1215";"LIM2405";"LOVO";"LS174T";"RKO";"RW2982";"RW7213";"SKCO1";"SW1116";"SW403";"SW48";"SW620";"SW837";"SW948";"T84";"TC71";"VACO5"
"ABCB1";8,513266473;4,209145349;4,288978236;4,399562724;8,646361091;8,118857107;3,550463617;5,203955823;8,715994518;4,114720058;3,403387499;7,972056052;3,707502015;6,883250043;4,149816549;7,911795864;7,815337635;4,048333099;3,672311373;8,360893015;4,139739396;7,252751956;5,972921238;6,478260015;6,570890262;6,445608447;8,513349071;7,998943773;7,611757285;7,248767012
"ABCB10";8,835958256;8,17705121;7,765013033;8,27064351;9,375330828;9,110367985;8,921690363;8,573505513;8,910067464;8,276693963;8,74671019;8,980592415;8,729008015;9,535419679;9,419175082;9,322264114;8,523817229;8,317101556;7,635615974;8,020239627;8,719236873;7,092547445;8,073082154;8,088094869;8,822521136;8,330579681;8,295007207;8,389049285;8,985260286;8,545907342
"ABCB11";4,083791496;4,169020345;4,049922967;3,924808488;4,06427205;4,230323248;4,185760136;4,056577892;4,09160948;4,10940471;3,962158859;3,983588374;4,127095615;3,883045855;3,923583877;4,16388775;4,249417979;4,209554037;4,476619753;4,157717941;3,863997558;4,302912394;3,83975427;4,188890052;3,849853216;4,048547196;4,151484929;3,870845923;4,115208648;3,944764214
"ABCB4";4,39203922;4,192151855;4,162977858;3,990530499;6,909954217;4,739140015;3,948130231;4,06024201;4,554279327;4,252991152;4,053570369;4,399178621;3,837031497;3,854907365;3,987320278;4,375585113;4,348317468;3,924866519;4,071475847;4,147009556;3,831032193;4,088143653;3,934704699;3,942016521;4,133730519;4,157274973;4,342308847;4,047713834;4,226693149;4,401331324
"ABCB5";4,008494903;3,746473273;4,210833792;3,830878508;3,719468333;4,314256646;3,7145843;3,991573485;3,968344572;4,040056206;3,867299397;3,750785637;3,993190475;4,194999305;3,782340223;3,697566185;4,361909986;3,867560491;3,751086917;3,678626369;4,021500529;4,120018594;3,712906698;3,737869001;4,067911708;3,952474148;4,02617302;3,8258158;3,960551139;4,001102086
"ABCB6";8,155271339;5,742155657;7,005992097;7,841404021;7,49313533;5,538228543;7,908721458;7,08348449;5,569386216;7,439968526;7,424761021;7,519233045;6,737100731;5,98587338;6,752479862;5,279367118;6,720053049;7,602883315;7,987737428;7,376646109;6,838980509;7,125583024;7,033943273;8,390855955;7,4622202;7,559612233;7,911301469;7,130268519;7,344497673;7,469349446
"ABCB7";8,390667563;8,711923559;8,540366078;8,756244888;9,244538449;9,00726024;8,727695857;8,221038687;8,706667222;8,624786952;8,236500608;7,930709503;8,436585741;8,199661805;7,777911155;8,220643358;8,486381685;8,783103009;7,652717401;8,554604939;8,277476567;8,711219328;8,384501408;8,711085404;8,743230046;8,463503674;7,845508369;8,971820918;9,304060905;8,469102867
"ABCB8";5,907685943;6,361170256;6,659239873;6,614306925;6,160426354;6,089522999;6,610600532;6,313162785;6,3067373;6,151885648;6,020682049;6,044741065;6,101475616;6,515451105;5,593955551;6,556931357;6,346346043;6,378307543;6,670997536;6,586117366;6,996325765;6,542270511;5,85092411;5,989748242;6,486282297;5,85372427;6,713423141;5,785277416;7,006663864;6,233164901
"ABCB9";5,044808966;5,549580954;6,378091804;6,14038686;4,732129967;5,196890888;5,828225985;5,561237115;5,544701074;5,37058068;5,698733245;4,981184588;5,257421216;5,170945708;5,681488997;5,490203868;5,562793998;5,724144014;6,145264896;5,903404923;5,388360852;5,513038694;5,934530048;5,879310808;5,476592612;5,646382544;5,679870771;5,684502772;5,492336225;5,423080962
"ABCC1";6,561627208;7,603592598;8,023222156;7,555700443;7,984151349;7,642249302;7,480784892;7,500908995;7,637222984;7,317588319;8,091066097;6,227417462;7,848911794;7,557686149;7,398965011;7,667712902;7,015428864;7,343151954;7,697903633;7,979228713;7,46937645;7,244123441;7,711386223;6,849617405;7,87230976;7,764651129;6,408441885;7,389442393;6,87803202;7,301945698
"ABCC10";8,095945922;8,598256063;8,265206044;7,806118966;7,289723516;8,692208603;9,048996295;8,761608785;8,342449274;7,991991861;8,237759137;9,219612142;7,931478312;8,673058918;7,832407712;8,493286355;8,658185002;8,636400886;8,277579057;8,816474104;8,721448093;9,127224477;9,341610932;9,613000274;8,16460402;8,661163618;9,090752677;8,645445981;8,002222026;7,665340855
"ABCC11";5,059666713;5,023468222;5,087293385;5,045516888;4,833021515;4,798473955;4,939636456;5,092034196;4,78486274;4,903166295;4,790219638;4,755140403;5,06433786;4,807440378;4,887122578;4,936837773;4,988623762;4,752549194;5,267466965;4,82696834;5,015645805;4,911908784;5,03649441;5,025354629;4,911185974;4,882909;4,919616693;5,03870179;4,925505634;4,950261293
"ABCC12";4,104738606;4,03965066;4,133195952;4,151616376;3,795885448;4,057412185;3,918738321;3,804034753;3,946862886;4,023949058;4,180453871;3,728443647;4,008453696;4,201305426;3,979912202;3,755186835;3,924486723;4,139707584;4,006610129;3,880358916;4,179405201;4,076071139;3,969184432;4,171881436;3,698653714;3,899964978;3,950691664;4,082110557;3,740556879;4,00734972
"ABCC13";4,10592459;4,197543992;4,19422674;4,217415668;4,025902684;4,200736902;4,074479971;4,347584469;4,178932356;4,090209469;3,891713296;4,183002068;4,187896804;4,277153949;4,237516977;4,225345325;4,342947103;4,134721354;4,559024473;4,173586514;4,126989394;4,527641056;4,381194503;4,057430083;4,108822354;4,078286908;4,205796265;4,368062687;4,096157217;4,348134092
"ABCC2";8,31506666;5,075441241;7,00740788;7,989078069;4,457158758;4,910236709;5,70974476;7,469068564;4,630412607;4,882980319;4,395807412;5,442852763;5,954731565;4,858298564;4,654088509;5,970222188;4,628123211;4,652438839;4,806155246;7,418480013;4,594284854;4,878327216;7,0499023;5,034142098;7,380499129;4,721754128;4,536232848;7,587084288;6,163252062;5,055304465
"ABCC3";7,138900351;8,810327801;9,880443891;10,06106555;4,512597105;7,927768294;8,467221357;7,148465656;7,266709619;10,73546736;8,559878122;9,645305427;7,127545468;10,50907365;7,448165549;9,01813796;6,658023511;4,694770431;7,772981822;10,18074159;10,16809258;10,24628852;9,479430585;7,861440489;7,973483249;9,513598743;8,833396867;9,571561582;8,618021762;7,940564792
"ABCC4";9,424103917;9,01813382;8,477370623;7,630752634;9,681587398;9,640772503;6,771987298;8,78323619;9,500673934;9,030452805;9,202766112;7,750835529;8,849610231;7,662168212;8,371438302;8,896286652;7,303986996;8,578208831;7,794185416;8,5001885;8,810736404;5,117695594;4,665668834;6,750390011;9,141777196;7,850714363;8,561638577;8,125405409;8,735125263;8,197506901
"ABCC5";6,451124937;6,532757836;5,753031436;6,076580093;7,335561772;6,820356863;6,620733339;6,018703464;6,086812377;6,358042974;7,363780677;6,942072155;5,989487348;6,831359445;6,289615078;6,145497447;5,991463025;7,097593414;6,867455365;6,88783079;7,128216988;6,450775082;6,470771453;6,43426195;6,5982762;6,398909422;6,157319922;5,869645793;6,889792958;6,618458825
"ABCC6";7,721007452;4,082586463;6,277333911;7,135779409;4,524913474;5,905636787;4,884363088;5,84294711;6,878382339;5,958670511;5,532701174;5,893005899;4,557142476;6,322868684;5,939617329;6,835910429;6,35987624;5,90127742;4,590838002;6,695610032;4,630888501;7,23185884;9,268243069;6,984617964;6,005798547;6,986046503;8,084266206;7,10863397;5,180878192;4,102226328
"ABCC8";5,439938127;5,688879194;5,621854682;5,572362838;5,472462823;5,418586689;5,353229045;5,513348744;5,315108788;5,644450316;5,425747479;5,303600572;5,672167409;5,54552106;5,345468722;5,542339496;5,28525971;5,697327516;6,030626436;5,836332126;5,646094223;5,662545568;5,713471553;5,195141221;5,555388536;5,65637685;5,638209712;5,593414943;5,505530579;5,550666652
"ABCC9";6,679502243;3,630332428;3,627445082;3,761812277;3,569168899;3,540475621;3,694461454;3,624974601;3,630028887;3,525362395;3,612906464;3,724626389;3,658575699;3,894982433;3,484035511;3,911081675;3,343245515;3,6751503;3,729560583;4,044538727;3,710371964;3,708244124;3,963852155;3,511933978;3,883806737;3,45796304;3,873065995;3,676313437;3,568729919;3,519545345
"ABCD1";5,803087339;6,125730795;6,777359029;6,696028857;5,672378942;5,770040017;6,413009043;6,228929764;5,829293672;6,216786495;6,282764972;6,141906481;5,673892061;5,815402552;6,247079084;5,983738418;6,160791773;6,562375902;6,337701576;6,462204545;5,97305278;6,238298819;6,837123684;5,989777357;6,771362534;6,559591144;6,243373133;6,182442571;6,034114386;6,05856689
"ABCD2";2,982903983;3,089311397;3,087040324;3,038261658;3,119747262;2,954103287;3,081177948;3,059363385;3,074601364;3,004331018;2,919308626;2,927274036;3,031734599;2,982096833;2,987578885;3,141038163;3,082408794;3,033406254;3,059899096;2,985742242;2,99680872;3,074227396;3,117953888;3,072072684;2,982766524;2,947039634;2,941823187;3,032640542;3,117446233;2,984837815
"ABCD3";7,14246593;6,240324799;8,792035363;7,965143441;7,910020582;6,144674973;7,239634154;6,559619195;5,998153601;6,949933176;6,861089691;6,366279432;7,954363354;6,572981427;5,604917711;7,153058007;6,94650795;7,297343993;5,007076298;6,849871563;5,265768004;5,720126659;6,567658191;6,932913158;7,343827012;7,139252032;7,231916706;8,046337254;6,913526624;5,977913667
"ABCD4";7,33857468;7,904722076;7,454934308;7,564424158;7,63942792;7,530723822;7,09094538;7,614194092;7,758740974;7,242667426;7,241303605;6,875463143;7,633332395;7,895946595;7,921465308;7,451239882;7,475292269;8,33781794;8,049023098;7,529527999;7,750290551;7,637299878;7,464150991;7,531156502;8,154561046;7,521986604;6,795053636;7,388369524;7,7762507;7,268158185
"ABCE1";9,596956904;10,35303131;9,244305587;9,426793848;9,873217136;10,60085972;10,07974213;9,956256293;10,16789202;9,743262052;9,655863475;9,179631596;10,09394808;9,395540987;10,2266037;9,403160605;9,179726558;9,795601883;9,010054391;9,688445221;9,519168492;8,939562981;9,037144287;10,2014008;9,707413235;10,30790762;9,172861119;9,293008408;9,777067323;9,180048051
"ABCF1";9,212742757;9,206235167;9,156820327;9,132414519;9,4054956;9,512100698;9,328850295;8,793402964;9,390610201;9,065839607;9,221729082;9,139407233;8,904726084;8,439141978;9,534097271;8,425692414;8,598779969;8,844787193;8,497100685;9,016498854;9,089096432;8,456038772;8,792243005;9,92723306;9,201819319;9,620321827;8,818675687;9,367736064;9,343796467;9,209614334
"ABCF2";7,81383118;8,201027178;7,17331242;7,405785131;8,069499239;8,330195413;7,983367353;7,704800168;8,41885528;8,130178194;8,193590991;7,464194169;8,238903377;7,12663826;8,669207544;7,981560235;7,612073456;8,459142635;8,233221986;8,285751334;8,503156956;6,44845641;6,947740582;7,223363808;8,253233304;8,552017153;7,170546806;7,363517756;7,96092164;7,751384461
"ABCF3";7,764368005;8,058360184;7,515209341;7,638191017;7,471441758;7,529291439;7,891054802;7,733141822;7,696198714;7,763948739;8,05489858;7,799434042;8,026699863;7,517098334;7,321307912;7,774845225;7,985305404;7,831094692;7,989099811;8,036706542;7,466108897;7,645392007;7,947732847;7,813891378;7,547384654;7,813983136;7,740744866;7,98026068;7,514157602;7,446387752
"ABCG1";3,392951845;3,724210999;7,846485708;7,062303363;3,248837832;5,25594654;3,427266556;4,027155006;3,929368109;6,531254873;4,10540045;3,722487303;3,265335009;3,308841881;6,227143971;4,168160102;3,628142936;3,682361057;4,84307703;6,117613935;6,038980344;3,784168295;7,067751045;3,550872151;7,045773688;5,445723666;3,524982613;3,345091831;8,372611818;3,512923195
"ABCG2";9,235327789;10,48100671;4,523954368;5,941884471;4,2746142;7,081160504;7,436320799;5,539926253;5,759819386;9,371911045;4,42084508;4,724775879;9,591478409;4,85311297;6,362440908;7,632022852;4,425931526;5,706792728;7,797582551;7,149337018;5,86148711;4,45771437;7,756714015;6,829270421;4,566419897;7,269360522;6,940584821;5,229107724;4,749387324;6,396543085
"ABCG4";4,92481428;5,027646893;5,185790727;5,069690006;4,832021962;4,980931924;5,094125578;5,31344705;4,992196691;5,009849033;4,877042795;4,893392683;5,024876599;5,024787608;5,013079454;5,165008658;4,76120385;5,417648532;5,542202264;5,043256359;4,919873709;5,274902155;4,993028761;5,058881688;4,680501386;5,191464832;4,952564721;4,981197424;4,925639093;4,876893859
"ABCG5";3,869954377;3,832363436;3,706852749;3,649038835;3,563921356;3,863392191;4,191928385;4,031654672;3,931218341;3,899682332;3,562136929;3,987057086;4,345455257;3,615956618;3,604596493;3,499705802;3,692850125;3,865494747;3,820273859;4,129424321;3,936797462;4,421977798;3,749699131;4,332812166;3,748098023;4,051549912;3,839424427;4,108718481;3,608245753;3,81160578
